Date,SV reactor 1,SV reactor 2,SV reactor 3,SV reactor 4,mlss reactor 1,volume reactor 1,mlss reactor 2,volume reactor 2,mlss reactor 3,volume reactor 3,mlss reactor 4,volume reactor 4
14/09/2018 00:00,3.8,4.01,4.27,4.44,1720,160,1680,150,1828,120,1752,120
15/09/2018 00:00,3.93,4.03,4.24,4.36,1968,170,2024,160,1916,140,1868,130
16/09/2018 00:00,3.57,3.51,3.77,4.01,1636,180,1744,170,1792,150,1868,140
17/09/2018 00:00,3.97,4.01,4.31,4.36,1872,160,1752,150,1852,140,1720,140
18/09/2018 00:00,1.94,3.84,4.21,4.17,2040,300,1772,150,1844,150,1724,150
19/09/2018 00:00,4,3.96,3.77,4.16,2072,180,2044,170,2036,150,1904,160
20/09/2018 00:00,3.8,3.8,4.3,4.14,1896,160,1832,150,1868,160,1800,150
21/09/2018 00:00,4,4.14,4.37,4.29,1968,150,1924,150,2156,150,1868,150
22/09/2018 00:00,3.47,3.73,4.1,4.14,3256,170,3772,180,1964,160,2372,160
23/09/2018 00:00,3.91,4.14,4.43,4.43,,160,,160,,150,,140
24/09/2018 00:00,4.57,3.71,4.11,4.09,,180,,180,,160,,150
25/09/2018 00:00,3.8,3.71,3.99,3.99,1852,210,1820,210,1728,190,1672,190
26/09/2018 00:00,3.64,4.04,3.89,4.26,1668,160,1712,150,1600,140,1552,140
27/09/2018 00:00,4.11,4,4.31,4.2,1448,150,1880,170,1628,140,1672,150
28/09/2018 00:00,4.03,3.86,4.2,4.2,,160,1912,150,1788,160,1748,160
29/09/2018 00:00,3.74,3.74,4.29,4.29,1952,180,2024,180,1824,170,1752,160
30/09/2018 00:00,3.74,3.8,3.71,3.9,1676,170,1680,170,1680,150,1692,150
01/10/2018 00:00,4.03,4.14,4.16,4.16,1700,200,1668,190,1784,160,1712,160
02/10/2018 00:00,3.51,3.71,3.8,4.11,1888,200,1664,200,1724,170,1736,160
03/10/2018 00:00,3.66,3.83,4.11,4.23,1808,200,2080,190,1808,170,1728,150
04/10/2018 00:00,3.74,4.09,4.17,4.43,1716,200,1700,200,1764,180,1712,170
05/10/2018 00:00,3.67,3.7,3.87,3.77,1748,200,1740,200,1792,170,1712,170
06/10/2018 00:00,3.59,3.74,3.73,3.81,1928,200,1860,200,1896,170,1868,170
07/10/2018 00:00,3.39,3.63,3.77,3.89,1804,220,1860,220,1976,190,1872,190
08/10/2018 00:00,3.49,3.74,3.83,3.89,1784,180,1816,170,2288,170,2188,170
09/10/2018 00:00,3.63,3.94,3.8,3.83,1784,200,1756,200,1884,180,1904,190
10/10/2018 00:00,3.51,3.69,3.74,3.31,1804,200,1724,200,1924,210,1932,220
11/10/2018 00:00,3.6,3.94,3.86,3.69,1804,220,1724,200,1924,210,1820,200
12/10/2018 00:00,3.57,3.79,3.64,3.59,1796,230,1680,220,,220,1860,210
13/10/2018 00:00,3.11,3.43,3.39,3.39,2012,260,2140,230,1868,220,1864,220
